participant,exp,total_alpha_dB,relative_alpha_dB,channels,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,delta_CF_Hz_peak,mean_delta_cf,relative_delta_dB,total_delta_dB,delta_BW_Hz_peak,delta_BW_Hz_sum,theta_CF_Hz_peak,mean_theta_cf,relative_theta_dB,total_theta_dB,theta_BW_Hz_peak,theta_BW_Hz_sum,beta_CF_Hz_peak,mean_beta_cf,relative_beta_dB,total_beta_dB,beta_BW_Hz_peak,beta_BW_Hz_sum,gamma_CF_Hz_peak,mean_gamma_cf,relative_gamma_dB,total_gamma_dB,gamma_BW_Hz_peak,gamma_BW_Hz_sum
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FC5,-11.595928,0.193023,0.942289,0.034527,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.198568,20.528643,1.785651,3.487045,4.808203,6.208203,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,C3,-9.880834,2.053395,0.992769,0.036565,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.455566,16.455566,1.858155,1.858155,4.950623,4.950623,38.643429,38.643429,0.830305,0.830305,1.4,1.4
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,T7,-9.822964,1.682542,0.991522,0.029274,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.996938,28.996938,1.835665,1.835665,1.852834,1.852834,38.122592,35.448476,2.426114,3.887523,2.270167,4.445416
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,TP9,-9.299445,2.152675,0.995392,0.032757,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.233624,38.233624,1.218256,1.218256,1.458177,1.458177
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,CP5,-9.577005,2.068266,0.992875,0.038347,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,CP1,-9.68045,2.22431,0.992196,0.038344,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.34873,16.34873,2.051829,2.051829,4.688105,4.688105,38.68749,38.68749,0.954973,0.954973,1.4,1.4
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Pz,-9.479714,2.281553,0.990843,0.047338,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.124536,16.124536,2.044668,2.044668,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,P3,-9.491927,2.182204,0.993132,0.041784,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.63608,16.63608,2.17436,2.17436,7.710719,7.710719,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,P7,-9.156841,2.313743,0.991918,0.053267,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,O1,-9.139494,2.377011,0.992824,0.047797,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.057813,16.057813,2.526786,2.526786,6.99872,6.99872,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Oz,-9.148618,2.366357,0.984105,0.073216,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,O2,-9.203057,2.307567,0.983045,0.074988,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,P4,-9.468414,2.241481,0.990359,0.050843,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.612228,17.612228,1.588267,1.588267,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,P8,-9.190699,2.31857,0.986557,0.061663,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
