participant,exp,Peak #,CF_Hz,PW_log10,PW_dB,BW_Hz,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,channels,Channels_Validity
sub-001,lowlevel,3,24.668614,0.116122,1.161219,1.4,-10.076566,1.64315,0.98891,0.033434,F7,True
sub-001,lowlevel,4,39.346497,0.18667,1.866701,5.397368,-10.076566,1.64315,0.98891,0.033434,F7,True
sub-001,lowlevel,1,9.330578,0.240543,2.405433,2.976975,-9.499064,2.021925,0.995022,0.027717,FT9,True
sub-001,lowlevel,2,13.520953,0.112811,1.12811,1.4,-9.499064,2.021925,0.995022,0.027717,FT9,True
sub-001,lowlevel,3,25.09402,0.085469,0.854692,1.4,-9.499064,2.021925,0.995022,0.027717,FT9,True
sub-001,lowlevel,4,34.216762,0.07975,0.797499,1.4,-9.499064,2.021925,0.995022,0.027717,FT9,True
sub-001,lowlevel,5,38.393872,0.187471,1.874711,2.79237,-9.499064,2.021925,0.995022,0.027717,FT9,True
sub-001,lowlevel,1,7.024237,0.450572,4.505725,4.38548,-11.595928,0.193023,0.942289,0.034527,FC5,True
sub-001,lowlevel,2,17.858719,0.170139,1.701394,1.4,-11.595928,0.193023,0.942289,0.034527,FC5,True
sub-001,lowlevel,3,23.198568,0.178565,1.785651,4.808203,-11.595928,0.193023,0.942289,0.034527,FC5,True
sub-001,lowlevel,1,8.713666,0.360246,3.602459,1.741869,-9.880834,2.053395,0.992769,0.036565,C3,True
sub-001,lowlevel,2,12.548601,0.387624,3.876235,1.621197,-9.880834,2.053395,0.992769,0.036565,C3,True
sub-001,lowlevel,3,16.455566,0.185816,1.858155,4.950623,-9.880834,2.053395,0.992769,0.036565,C3,True
sub-001,lowlevel,4,38.643429,0.08303,0.830305,1.4,-9.880834,2.053395,0.992769,0.036565,C3,True
sub-001,lowlevel,1,8.179688,0.257533,2.575329,1.706083,-9.822964,1.682542,0.991522,0.029274,T7,True
sub-001,lowlevel,2,10.390085,0.190934,1.909338,2.266573,-9.822964,1.682542,0.991522,0.029274,T7,True
sub-001,lowlevel,3,13.908702,0.101067,1.010669,3.472672,-9.822964,1.682542,0.991522,0.029274,T7,True
sub-001,lowlevel,4,28.996938,0.183566,1.835665,1.852834,-9.822964,1.682542,0.991522,0.029274,T7,True
sub-001,lowlevel,5,32.77436,0.146141,1.461408,2.175249,-9.822964,1.682542,0.991522,0.029274,T7,True
sub-001,lowlevel,6,38.122592,0.242611,2.426114,2.270167,-9.822964,1.682542,0.991522,0.029274,T7,True
sub-001,lowlevel,1,8.872105,0.393444,3.934436,2.109674,-9.299445,2.152675,0.995392,0.032757,TP9,True
sub-001,lowlevel,2,12.208888,0.302138,3.021381,5.003876,-9.299445,2.152675,0.995392,0.032757,TP9,True
sub-001,lowlevel,3,38.233624,0.121826,1.218256,1.458177,-9.299445,2.152675,0.995392,0.032757,TP9,True
sub-001,lowlevel,1,8.881165,0.514641,5.146412,1.868963,-9.577005,2.068266,0.992875,0.038347,CP5,True
sub-001,lowlevel,2,13.995355,0.3064,3.064,7.400238,-9.577005,2.068266,0.992875,0.038347,CP5,True
sub-001,lowlevel,1,9.013866,0.422481,4.224812,1.470957,-9.68045,2.22431,0.992196,0.038344,CP1,True
sub-001,lowlevel,2,12.126445,0.287054,2.870543,1.840254,-9.68045,2.22431,0.992196,0.038344,CP1,True
sub-001,lowlevel,3,16.34873,0.205183,2.051829,4.688105,-9.68045,2.22431,0.992196,0.038344,CP1,True
